RPId,x,y,z,udx,udy,vdx,vdy
0,3.23075e-15,56.0044,-203.377,-0.707107,0.707107,0.707107,0.707107
1,3.21965e-15,-56.3534,-203.377,0.707107,-0.707107,-0.707107,-0.707107
2,57.1404,6.60583e-15,-203.827,0.707107,0.707107,0.707107,-0.707107
3,21.6919,3.39736,-212.55,0.606346,0.795201,0.795201,-0.606346
4,-2.93811,19.7746,-213,-0.798015,0.602638,0.602638,0.798014
5,3.06982,-20.129,-213,0.799156,-0.601122,-0.601123,-0.799156
20,-0.549971,20.3285,-214.628,-0.707121,0.707093,0.707093,0.707121
21,-0.361085,-20.5912,-214.628,0.707635,-0.706578,-0.706578,-0.707635
22,21.6943,1.09989,-215.078,0.712224,0.701952,0.701951,-0.712225
23,21.218,0.228164,-219.55,0.708504,0.705706,0.705706,-0.708505
24,-0.117432,20.7759,-220,-0.706921,0.707292,0.707292,0.706921
25,0.123249,-21.1254,-220,0.707166,-0.707048,-0.707048,-0.707166
100,0,56.0124,203.377,0.707107,0.707107,-0.707107,0.707107
101,3.16414e-15,-56.0594,203.377,-0.707107,-0.707107,0.707107,-0.707107
102,57.1294,-6.60583e-15,203.827,0.707107,-0.707107,0.707107,0.707107
103,21.9154,3.54378,212.55,0.796575,-0.604539,0.60454,0.796575
104,-2.91496,20.0414,213,0.6021,0.79842,-0.79842,0.6021
105,3.20735,-20.0438,213,-0.601876,-0.798589,0.798589,-0.601876
120,0.646055,22.031,214.628,0.693079,0.720862,-0.720862,0.693079
121,-0.102095,-20.5709,214.628,-0.707982,-0.706231,0.706231,-0.707982
122,21.7819,1.13397,215.078,0.703607,-0.710589,0.710589,0.703607
123,21.07,0.066334,219.55,0.704162,-0.710039,0.710039,0.704162
124,-0.556401,21.0099,220,0.707696,0.706517,-0.706517,0.707696
125,-0.71124,-21.1962,220,-0.705905,-0.708306,0.708305,-0.705906
