ID,x,y,z
0,0,109.112,-203.377
1,0,-109.461,-203.377
2,110.248,0,-203.827
3,74.2474,10.7495,-212.55
4,-10.3573,72.322,-213
5,10.4231,-72.7456,-213
20,-0.58142,73.3979,-214.628
21,-0.39742,-73.7474,-214.628
22,74.7653,1.06744,-215.078
23,74.2863,0.19533,-219.55
24,-0.14774,73.8463,-220
25,0.08874,-74.2594,-220
100,0,109.12,203.377
101,0,-109.167,203.377
102,110.237,0,203.827
103,74.4583,10.8435,212.55
104,-10.3499,72.528,213
105,10.5633,-72.7307,213
120,0.60304,75.0305,214.628
121,-0.13569,-73.7762,214.628
122,74.8511,1.03978,215.078
123,74.1404,-0.03942,219.55
124,-0.59234,74.0038,220
125,-0.74103,-74.4147,220
