DetId,x,y,z,dx,dy
0,-0.51389,56.0044,-203.357,0.707107,0.707107
1,0.51389,56.0044,-203.361,-0.707107,0.707107
2,-0.51389,56.0044,-203.366,0.707107,0.707107
3,0.51389,56.0044,-203.37,-0.707107,0.707107
4,-0.51389,56.0044,-203.375,0.707107,0.707107
5,0.51389,56.0044,-203.379,-0.707107,0.707107
6,-0.51389,56.0044,-203.384,0.707107,0.707107
7,0.51389,56.0044,-203.388,-0.707107,0.707107
8,-0.51389,56.0044,-203.393,0.707107,0.707107
9,0.51389,56.0044,-203.397,-0.707107,0.707107
10,0.51389,-56.3534,-203.357,-0.707107,-0.707107
11,-0.51389,-56.3534,-203.361,0.707107,-0.707107
12,0.51389,-56.3534,-203.366,-0.707107,-0.707107
13,-0.51389,-56.3534,-203.37,0.707107,-0.707107
14,0.51389,-56.3534,-203.375,-0.707107,-0.707107
15,-0.51389,-56.3534,-203.379,0.707107,-0.707107
16,0.51389,-56.3534,-203.384,-0.707107,-0.707107
17,-0.51389,-56.3534,-203.388,0.707107,-0.707107
18,0.51389,-56.3534,-203.393,-0.707107,-0.707107
19,-0.51389,-56.3534,-203.397,0.707107,-0.707107
20,57.1404,0.51389,-203.807,0.707107,-0.707107
21,57.1404,-0.51389,-203.811,0.707107,0.707107
22,57.1404,0.51389,-203.816,0.707107,-0.707107
23,57.1404,-0.51389,-203.82,0.707107,0.707107
24,57.1404,0.51389,-203.825,0.707107,-0.707107
25,57.1404,-0.51389,-203.829,0.707107,0.707107
26,57.1404,0.51389,-203.834,0.707107,-0.707107
27,57.1404,-0.51389,-203.838,0.707107,0.707107
28,57.1404,0.51389,-203.843,0.707107,-0.707107
29,57.1404,-0.51389,-203.847,0.707107,0.707107
30,21.5344,3.90596,-212.53,0.795327,-0.606181
31,21.7066,2.82116,-212.534,0.606367,0.795185
32,21.5469,3.89646,-212.539,0.795309,-0.606205
33,21.7197,2.83836,-212.543,0.606325,0.795217
34,21.6019,3.85455,-212.548,0.795232,-0.606305
35,21.7197,2.8383,-212.552,0.606369,0.795184
36,21.5919,3.86214,-212.557,0.79492,-0.606714
37,21.7359,2.85962,-212.561,0.606258,0.795268
38,21.6495,3.81816,-212.566,0.794761,-0.606923
39,21.7593,2.89016,-212.57,0.607006,0.794697
40,-3.55026,19.5597,-212.98,0.601042,0.799218
41,-2.49924,19.8345,-212.984,-0.79793,0.602751
42,-3.51001,19.6135,-212.989,0.602929,0.797795
43,-2.47741,19.818,-212.993,-0.798031,0.602617
44,-3.47504,19.6597,-212.998,0.602737,0.79794
45,-2.45322,19.7997,-213.002,-0.797965,0.602704
46,-3.42928,19.7202,-213.007,0.603409,0.797432
47,-2.43068,19.7827,-213.011,-0.798057,0.602582
48,-3.41437,19.7399,-213.016,0.603561,0.797317
49,-2.42832,19.7809,-213.02,-0.797723,0.603024
50,3.47488,-20.1712,-212.98,-0.600227,-0.79983
51,2.57443,-20.265,-212.984,0.799934,-0.600088
52,3.51294,-20.1204,-212.989,-0.600784,-0.799411
53,2.54837,-20.2454,-212.993,0.799393,-0.600808
54,3.54142,-20.0825,-212.998,-0.601839,-0.798617
55,2.5338,-20.2345,-213.002,0.79899,-0.601345
56,3.55622,-20.0629,-213.007,-0.60158,-0.798812
57,2.4904,-20.2018,-213.011,0.798706,-0.601722
58,3.61587,-19.9838,-213.016,-0.602193,-0.798351
59,2.47079,-20.1869,-213.02,0.798,-0.602657
200,-1.20744,20.1781,-214.608,0.706605,0.707609
201,-0.0173501,20.2402,-214.612,-0.707366,0.706848
202,-1.15019,20.2354,-214.617,0.706748,0.707465
203,-0.0616501,20.2844,-214.621,-0.707141,0.707072
204,-1.10577,20.2799,-214.626,0.707226,0.706988
205,-0.0696601,20.2924,-214.63,-0.707239,0.706975
206,-1.04186,20.3437,-214.635,0.707558,0.706655
207,-0.10457,20.3274,-214.639,-0.706624,0.707589
208,-0.9711,20.4143,-214.644,0.707694,0.706519
209,-0.0863301,20.3091,-214.648,-0.706867,0.707346
210,0.12064,-20.6356,-214.608,-0.706372,-0.707841
211,-0.82725,-20.7238,-214.612,0.707675,-0.706538
212,0.12201,-20.6342,-214.617,-0.706473,-0.70774
213,-0.87112,-20.68,-214.621,0.707255,-0.706959
214,0.12353,-20.6327,-214.626,-0.706564,-0.70765
215,-0.92643,-20.6247,-214.63,0.707284,-0.70693
216,0.13451,-20.6217,-214.635,-0.706826,-0.707387
217,-0.96367,-20.5874,-214.639,0.707204,-0.707009
218,0.0832599,-20.673,-214.644,-0.70688,-0.707333
219,-1.03076,-20.5208,-214.648,0.708532,-0.705678
220,21.6013,1.6386,-215.058,0.702174,-0.712005
221,21.635,0.53108,-215.062,0.711828,0.702353
222,21.6331,1.60643,-215.067,0.700876,-0.713283
223,21.6588,0.55461,-215.071,0.712341,0.701834
224,21.6571,1.58193,-215.076,0.702334,-0.711847
225,21.648,0.54399,-215.08,0.712878,0.701288
226,21.6853,1.55333,-215.085,0.702008,-0.712169
227,21.6701,0.56574,-215.089,0.712468,0.701705
228,21.7119,1.52638,-215.094,0.701821,-0.712354
229,21.6764,0.57198,-215.098,0.712145,0.702032
230,21.1205,0.76779,-219.53,0.705355,-0.708855
231,21.059,-0.43765,-219.534,0.708738,0.705472
232,21.1404,0.74784,-219.539,0.705096,-0.709112
233,21.1336,-0.36347,-219.543,0.708592,0.705618
234,21.163,0.72506,-219.548,0.705558,-0.708652
235,21.1839,-0.31346,-219.552,0.709039,0.705169
236,21.224,0.66373,-219.557,0.706028,-0.708184
237,21.238,-0.25961,-219.561,0.708835,0.705374
238,21.2479,0.6397,-219.566,0.70578,-0.708431
239,21.283,-0.21472,-219.57,0.708028,0.706185
240,-0.71755,20.6829,-219.98,0.70743,0.706784
241,0.45575,20.6491,-219.984,-0.707286,0.706928
242,-0.67998,20.7204,-219.989,0.707251,0.706963
243,0.40457,20.7003,-219.993,-0.706899,0.707315
244,-0.66704,20.7333,-219.998,0.707305,0.706908
245,0.34079,20.7641,-220.002,-0.707182,0.707032
246,-0.63611,20.7642,-220.007,0.707616,0.706597
247,0.34994,20.755,-220.011,-0.706829,0.707385
248,-0.60497,20.7953,-220.016,0.707207,0.707006
249,0.27985,20.8254,-220.02,-0.706063,0.708149
250,0.59523,-21.1592,-219.98,-0.706937,-0.707276
251,-0.28296,-21.2941,-219.984,0.707202,-0.707012
252,0.60226,-21.1522,-219.989,-0.707371,-0.706842
253,-0.3589,-21.2181,-219.993,0.707145,-0.707069
254,0.60459,-21.1499,-219.998,-0.707173,-0.70704
255,-0.43935,-21.1376,-220.002,0.707009,-0.707204
256,0.58137,-21.1731,-220.007,-0.707144,-0.70707
